region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,loess | 3 fold,84844,86937.92537339528,0.5,-1.0,2.4679710685437795,0.06960267137998981,0.09563742140900984,0.0164153096933963,0.00023402183079185597
"Baltimore-Columbia-Towson, MD",2020-10-14,32_pooled,loess | 5 fold,84844,86803.76620841026,0.4666666666666666,-1.0,2.3098465518012623,0.0687073634552878,0.09181619820357138,0.016303416144231666,0.00023442820501979073
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,aspline_20 | degree 1,84844,81407.55420930094,-1.0,15.0,4.050310912614985,0.054835132613861894,0.07280345351858747,0.016308899041011,1.5065396287890682e-06
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,aspline_20 | degree 3,84844,81472.66998849082,-1.0,8.666666666666666,3.9735632590509518,0.05350139857229663,0.07003660250233568,0.016102900243193736,0.0008719415148634996
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,aspline_40 | degree 1,84844,81195.365938609,-1.0,3.3333333333333335,4.30040316509241,0.0672283208999912,0.08660152194452471,0.017890197340648634,1.0822229183989526e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,aspline_40 | degree 3,84844,81401.4607750498,-1.0,4.0,4.057492839741424,0.04776282205410667,0.062221509564330944,0.016543566186636032,0.0006780274196040384
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,loess | 3 fold,84844,84286.19827795029,0.4166666666666667,-1.0,1.7261967441608654,0.044658381481331104,0.061128382093965566,0.014842456530863501,3.149223661029025e-05
"Baltimore-Columbia-Towson, MD",2020-10-14,32_averaged,loess | 5 fold,84844,84231.03447302182,0.4166666666666667,-1.0,1.79547627843736,0.045604264957518736,0.06338618758472854,0.015562549028331435,3.1957347884266816e-06
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,aspline_20 | degree 1,95852,94003.48207419908,-1.0,6.333333333333333,1.9285126296800288,0.054716040385293006,0.07403964256333213,0.014626072580618566,0.00040251271512627265
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,aspline_20 | degree 3,95852,93518.75579480868,-1.0,3.0,2.4342154625791106,0.056294132675244725,0.07076387049769443,0.015267510768358432,0.0012761978340181796
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,aspline_40 | degree 1,95852,93840.35520073977,-1.0,8.333333333333334,2.09869882658707,0.060377898613005,0.0877557312798203,0.0147613002977446,5.09644315330521e-05
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,aspline_40 | degree 3,95852,93727.56747361291,-1.0,5.0,2.216367448135751,0.057082096063118065,0.0800867574686832,0.015680291717645334,1.3804540800688159e-05
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,loess | 3 fold,95852,94999.60635375977,0.3833333333333333,-1.0,1.1165695145723509,0.0397752895021574,0.06024836612721507,0.010700228514260335,0.08618155462252262
"Phoenix-Mesa-Scottsdale, AZ",2020-10-14,96_direct,loess | 5 fold,95852,95104.80583922069,0.35000000000000003,-1.0,1.0068175162197688,0.0479096102629471,0.07135760065820414,0.012733523414923899,0.08604378695635145
