region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,aspline_40 | degree 3,346906,329378.5328695976,-1,11,5.052511957245592,0.2562949446789025,0.3421063705147329,0.014740372852811268,3.523876065392173e-07
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,loess | 3 fold,346906,345584.9871959686,0.45,-1,0.3807984883603547,0.16271555854127304,0.20599664909971394,0.009454450334528963,0.0032480901922641303
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_pooled,loess | 5 fold,346906,346065.3560695648,0.4,-1,0.24232614323049492,0.15843163879399047,0.20892580820479664,0.00852823845833528,0.01082220821213098
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,aspline_20 | degree 1,346906,335169.2734109183,-1,20,3.383258458799125,0.24422516543970763,0.31822788987331263,0.016985631403029,2.2682383749028645e-09
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,aspline_20 | degree 3,346906,335892.61385341955,-1,20,3.17474651536164,0.2552896423165459,0.33097408602237793,0.01758861034685577,5.119918933260692e-10
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,aspline_40 | degree 1,346906,335727.54992332344,-1,3,3.2223282608765937,0.2750724268595771,0.3594629102928773,0.013822503273909437,2.2312392654599833e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,aspline_40 | degree 3,346906,334912.69677779934,-1,9,3.457219887289542,0.2651957307313183,0.32805841220906534,0.018774258278562828,2.347855243556296e-11
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,loess | 3 fold,346906,350224.2249574661,0.35000000000000003,-1,0.9565199095622806,0.2010418868197984,0.2538647602710049,0.014082890850093732,1.3799969305061666e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-03,32_averaged,loess | 5 fold,346906,350224.2249574661,0.35000000000000003,-1,0.9565199095622806,0.2010418868197984,0.2538647602710049,0.014082890850093732,1.3799969305061666e-06
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,aspline_20 | degree 1,96402,94508.20062738274,-1,7,1.9644814138889828,0.04753268693751955,0.07349307850862759,0.010073451071474837,0.0011638914228024877
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,aspline_20 | degree 3,96402,94136.95498303148,-1,3,2.3495830138052334,0.047321069405442395,0.06669232201732254,0.011651638704255451,9.457803570112056e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,aspline_40 | degree 1,96402,94457.44669040706,-1,9,2.0171296338177034,0.061378379988733155,0.08413616147554157,0.010758536106513006,0.0004095600819662426
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,aspline_40 | degree 3,96402,94139.1777745936,-1,3,2.3472772612667807,0.04765481867934038,0.06822934392817372,0.011462069092641025,0.00013045496362340536
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,loess | 3 fold,96402,95687.63153648376,0.35000000000000003,-1,0.7410307498975491,0.04135691668334682,0.0638127220517787,0.011367318612067412,0.00015022033072054075
"Baltimore-Columbia-Towson, MD",2020-11-03,96_direct,loess | 5 fold,96402,95798.83933162689,0.2,-1,0.6256723598816497,0.04953899232091714,0.07088431068566407,0.011638958248954001,9.611235428896858e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,aspline_20 | degree 1,96402,91274.52610798959,-1,5,5.318845970011425,0.04560041604735516,0.05874465726881971,0.012254887956848703,3.358880914883233e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,aspline_20 | degree 3,96402,90248.27584959696,-1,2,6.383398840691106,0.060083419219233276,0.07582791995130761,0.012039258423920063,4.981914316759539e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,aspline_40 | degree 1,96402,90776.16442613241,-1,8,5.83580794368124,0.06639162459427138,0.08740879261626527,0.01113428783700987,0.00023141997005526882
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,aspline_40 | degree 3,96402,90910.32371872538,-1,3,5.696641440296484,0.05674986536578124,0.06749148839523746,0.01102650260202398,0.0002740752262895274
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,loess | 3 fold,96402,93796.12292861938,0.25,-1,2.703135901102275,0.04740475010141864,0.06092849007237503,0.011953627392819022,5.7413266566386234e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,48_direct,loess | 5 fold,96402,93734.53171110153,0.30000000000000004,-1,2.76702588006314,0.0472975879414924,0.059259443396175865,0.011702800680787662,8.830193452891155e-05
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,aspline_20 | degree 1,96402,94563.89320408787,-1,4,1.9067102299870626,0.04020092277135335,0.05383418284860488,0.009638827667793226,0.002272461288648331
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,aspline_20 | degree 3,96402,94353.39095098106,-1,20,2.1250690328197943,0.060889101832538144,0.07752268838984806,0.010887661073363364,0.0003526845751997687
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,aspline_40 | degree 1,96402,94397.47243548675,-1,40,2.0793423004846887,0.07387858952953073,0.09688853407355676,0.01102602400939201,0.00028599793907746474
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,aspline_40 | degree 3,96402,94242.73569518962,-1,6,2.2398542611256804,0.040143524498995484,0.05469946804524628,0.011075667369358277,0.00026057016295488733
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,loess | 3 fold,96402,97221.4407248497,0.30000000000000004,-1,0.8500246103293511,0.039487345573018404,0.052596845547775065,0.00836268083425018,0.012108540911195398
"Baltimore-Columbia-Towson, MD",2020-11-03,48_pooled,loess | 5 fold,96402,96847.24513912201,0.4,-1,0.4618629687371727,0.035395688714145286,0.048203304057830805,0.008965286079734125,0.005608004823961288
"Baltimore-Columbia-Towson, MD",2020-11-03,48_averaged,aspline_20 | degree 1,96402,94231.91117709884,-1,5,2.251082781375035,0.047852549122350846,0.058712175645718,0.010762397060498974,0.0004209665085554981
"Baltimore-Columbia-Towson, MD",2020-11-03,48_averaged,aspline_20 | degree 3,96402,93558.81851534429,-1,3,2.949297197833769,0.04526824050304612,0.06264991650016549,0.014007411556613725,1.1977172229560296e-06
"Baltimore-Columbia-Towson, MD",2020-11-03,48_averaged,aspline_40 | degree 1,96402,93998.41129345064,-1,9,2.493297552487873,0.07519844378978509,0.10509020120798943,0.01128103796537594,0.00018696544183371966
"Baltimore-Columbia-Towson, MD",2020-11-03,48_averaged,aspline_40 | degree 3,96402,93526.54814831442,-1,3,2.982771987806866,0.044584553276757664,0.06314025146725906,0.014248101669868618,7.285941474588498e-07
"Baltimore-Columbia-Towson, MD",2020-11-03,48_averaged,loess | 3 fold,96402,96625.8619890213,0.30000000000000004,-1,0.23221716252909821,0.03776101466499491,0.0562294355758202,0.010134987365516324,0.0010955252435836949
